央视,#genre#
揭阳综合,http://192.168.10.1:5678/gudou.php?id=jieyangyitao_1500
揭阳生活,http://192.168.10.1:5678/gudou.php?id=jieyangertao_1500
清远新闻综合,http://192.168.10.1:5678/gudou.php?id=qingyuanzonghe_1500
清远文旅生活,http://192.168.10.1:5678/gudou.php?id=qingyuangongong_1500
汕尾新闻综合,http://192.168.10.1:5678/gudou.php?id=shanweiyitao_1500
汕尾文化生活,http://192.168.10.1:5678/gudou.php?id=shanweiertao_1500
广州共享课堂一年级,http://192.168.10.1:5678/gudou.php?id=2061_1500
广州共享课堂二年级,http://192.168.10.1:5678/gudou.php?id=2062_1500
广州共享课堂三年级,http://192.168.10.1:5678/gudou.php?id=2063_1500
广州共享课堂四年级,http://192.168.10.1:5678/gudou.php?id=2064_1500
广州共享课堂五年级,http://192.168.10.1:5678/gudou.php?id=2065_1500
广州共享课堂六年级,http://192.168.10.1:5678/gudou.php?id=2066_1500
广州共享课堂初一,http://192.168.10.1:5678/gudou.php?id=2067_1500
广州共享课堂初二,http://192.168.10.1:5678/gudou.php?id=2068_1500
广州共享课堂初三,http://192.168.10.1:5678/gudou.php?id=2069_1500
广州共享课堂高一,http://192.168.10.1:5678/gudou.php?id=2070_1500
广州共享课堂高二,http://192.168.10.1:5678/gudou.php?id=2071_1500

港澳台,#genre#

翡翠台,http://192.168.10.1:5678/gudou.php?id=1350_4500
明珠台,http://192.168.10.1:5678/gudou.php?id=1351_4500

香港,#genre#

凤凰中文,http://192.168.10.1:5678/gudou.php?id=fhzw_1500

卫视,#genre#

星空卫视,http://192.168.10.1:5678/gudou.php?id=xingkong_1500
澳亚卫视,http://192.168.10.1:5678/gudou.php?id=aoya_1500
广东卫视,http://192.168.10.1:5678/gudou.php?id=guangdongHD_7000
深圳卫视,http://192.168.10.1:5678/gudou.php?id=shenzhenHD_7000
东方卫视,http://192.168.10.1:5678/gudou.php?id=dongfangHD_7000
北京卫视,http://192.168.10.1:5678/gudou.php?id=beijingHD_7000
湖南卫视,http://192.168.10.1:5678/gudou.php?id=hunanHD_7000
江西卫视,http://192.168.10.1:5678/gudou.php?id=jiangxiHD_7000
四川卫视,http://192.168.10.1:5678/gudou.php?id=sichuanHD_7000
江苏卫视,http://192.168.10.1:5678/gudou.php?id=jiangsuHD_7000
浙江卫视,http://192.168.10.1:5678/gudou.php?id=zhejiangHD_7000
天津卫视,http://192.168.10.1:5678/gudou.php?id=1415_4500
河北卫视,http://192.168.10.1:5678/gudou.php?id=1426_4500
重庆卫视,http://192.168.10.1:5678/gudou.php?id=chongqingHD_7000
贵州卫视,http://192.168.10.1:5678/gudou.php?id=guizhouHD_7000
辽宁卫视,http://192.168.10.1:5678/gudou.php?id=liaoningHD_7000
湖北卫视,http://192.168.10.1:5678/gudou.php?id=hubeiHD_7000
安徽卫视,http://192.168.10.1:5678/gudou.php?id=anhuiHD_7000
黑龙江卫视,http://192.168.10.1:5678/gudou.php?id=heilongjiangHD_7000
海南卫视,http://192.168.10.1:5678/gudou.php?id=1451_4500
陕西卫视,http://192.168.10.1:5678/gudou.php?id=1452_4500
甘肃卫视,http://192.168.10.1:5678/gudou.php?id=1462_4500
东南卫视,http://192.168.10.1:5678/gudou.php?id=dongnanweishiHD
三沙卫视,http://192.168.10.1:5678/gudou.php?id=1453
大湾区卫视,http://192.168.10.1:5678/gudou.php?id=gdnanfang_1500
